Fianna Fail;F.F.
Sinn Fein;S.F.
Non-Objects.Party;NON-P.
Fine Gael;F.G.
Anti-Austerity Alliance - People Before Profit;AAA-PBP
Catholic Democrats; C.D.
Green Party; G.P.
Renua Ireland;R.I.
Direct Democracy Ireland;D.D.I.
Independents 4 Change;I.4.C
The Labour Party;LAB.
Social Democrats;S.D.
Workers Party;W.P.
Fis Nua;F.N.
Communist Party of Ireland;C.P.I.
Irish Democratic Party;I.D.P.
